Reporter,Partner,Product categories,Parent,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,World,Capital goods,Capital goods,Import,Import(US$ Mil),86153.39,70439.56,72433.8,75359.01,73712.84,60357.87,63236.59,68819.33,70146.84,81090.22,70823.79,61478.07,51543.53,61880.82,54276.52,46615.76,42953.06,38706.84,31403.78,26173.18,22230.57,26267.63,25100.15,22671.46,23910.98,24525.37,22990.61,19539.69,15854.63,14685.13,14734.89,15134.14,15615.78,12430.02
Australia,World,All Products,All Products,Export,Exports (in US$ Mil),342036.1,247159.35,270260.84,256565.26,230536.74,189629.97,187792.15,240444.68,252155.11,256242.91,269423.39,212108.73,153899.58,186853.01,141181.51,123324.47,106011.05,86484.04,70288.24,64984.17,63288.19,63766.33,54534.2,55808.48,62816.52,60206.78,53000.55,47253.81,41879.2,42078.85,40782.72,38781.28,35761.44,32205.39
Australia,...,...,Miscellaneous,Import,No. Of Import partners,214,213,216,215,217,217,214,215,211,211,214,209,212,208,210,211,209,206,207,203,202,204,182,178,174,170,167,167,169,160,152,149,148,150
Australia,World,Fuels,Consumer goods,Export,Export(US$ Mil),94764.87,52676.05,87694.69,91171.82,69890.21,48540,47494.44,63956.23,65221.54,72890.52,75819.06,61259.84,45411.63,59868.23,32124.04,29652.26,27135.3,17520.24,13909.57,13444.57,13142.43,13325.23,9334.22,9474.17,11105.47,10184.7,8877.55,7816.63,8141.23,8519.38,8445.3,7472.91,5652.23,5049.94
Australia,World,Chemicals,Raw Materials,Export,Export(US$ Mil),12477.65,9778.16,13292.72,14535.45,11391.73,9581.54,9610.96,10886.85,11854.88,12952.88,12594.81,11225.92,9340.1,11679.42,10901.44,9215.62,7915.61,6849.69,5607.82,4682.82,4966.39,5082.38,4247.79,3956.59,4321.48,4226.56,3802.25,3313.53,3005.91,2874.87,2977.97,3191.1,2966.23,2194.37
Australia,Singapore,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,2758.78,,,2696.56,2168.31,,,
Australia,Special Categories,All Products,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242.56,4712.25,4372.27,4842.34,4178.79,2982.09
Australia,World,Animal,Capital goods,Export,Export(US$ Mil),15705.66,14193.11,15839.99,14648.32,13310.03,12458.92,14281.1,15366.2,12603.1,11783.63,11768.16,10088.51,8568.61,10089.64,9212.78,8667.06,8568.97,8002.5,6248.15,6308.52,6241.48,5856.19,5393.13,4848.71,5287.9,4928.58,4963.85,4836,4353.09,4207.54,3813.07,3566.69,3225.23,3032.22
Australia,World,Fuels,Consumer goods,Export,Export Product share(%),27.71,21.31,32.45,35.54,30.32,25.6,25.29,26.6,25.87,28.45,28.14,28.88,29.51,32.04,22.75,24.04,25.6,20.26,19.79,20.69,20.77,20.9,17.12,16.98,17.68,16.92,16.75,16.54,19.44,20.25,20.71,19.27,15.81,15.68
Australia,World,All Products,All Products,Trade Indicator,Country Growth (%),18.9,-5.23,2.34,4.38,13.21,-2.05,-11.35,-0.97,-0.54,-0.86,12.85,14.24,-8.97,14.61,7.94,8.74,9.19,12.14,4.54,0.3,-0.96,13.05,-0.71,-4.76,4.63,6.96,6.16,8.54,5.11,4.17,11.31,5.85,23.91,
