,Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
28,Syrian Arab Republic,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,1108.85,927.12,2352.25,1442.76,1175.45,0,1415.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Syrian Arab Republic,World,Hides and Skins,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,34.01,28.09,65.61,107.08,84.67,23.95,81.32,84.49,103.19,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Syrian Arab Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,680.56,0,1325.08,961.79,1133.61,4253.3,3392.12,3795.75,3108.76,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Syrian Arab Republic,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,1520.2,595.4,1190.49,2732.92,2139.84,1925.05,5352.07,7831.49,8875.8,7740.52,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Syrian Arab Republic,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,1672.06,1173.41,0,0,0,0,0,1202.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Syrian Arab Republic,World,Wood,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,126.44,95.71,135.63,83.9,92.5,26.8,73.57,91.31,36.12,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Syrian Arab Republic,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.21,0,0,863.43,1615.7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Syrian Arab Republic,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Syrian Arab Republic,World,Mach and Elec,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,220.71,371.48,650.7,556.13,504.35,63.81,155.45,122.65,79.78,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Syrian Arab Republic,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.11,0,343.88,1360.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Syrian Arab Republic,World,Metals,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,292.22,213.98,859.07,276.68,249.44,89.75,348.51,158.84,50.32,14.13,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Syrian Arab Republic,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0,0,0,0,0,0,0,0,0,0,0,1292.61,0,846.81,1010.99,0,0,0,0,1352.42,2071.08,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Syrian Arab Republic,World,Stone and Glass,Export,Export(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,60.63,104.43,84.97,36.34,50.63,30.96,116.69,59.04,22.52,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Syrian Arab Republic,World,Intermediate goods,Import,Import(US$ Mil),0,0,0,0,0,0,0,0,0,0,0,6246.76,6910.05,7122.14,4872.82,3663.78,3623.64,12035.45,9151.89,7355.25,5118.72,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Syrian Arab Republic,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
